Alberta,AB,0.05
British Columbia,BC,0.12
Manitoba,MB,0.12
New Brunswick,NB,0.15
Newfoundland and Labrador,NL,0.15
Northwest Territories,NT,0.05
Nova Scotia,NS,0.15
Nunavut,NU,0.05
Ontario,ON,0.13
Prince Edward Island,PE,0.15
Quebec,QC,0.14975
Saskatchewan,SK,0.11
Yukon,YT,0.05
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,0
Arkansas,AR,0
California,CA,0
Colorado,CO,0
Connecticut,CT,0
Delaware,DE,0
District of Columbia,DC,0
Florida,FL,0
Georgia,GA,0
Hawaii,HI,0
Idaho,ID,0
Illinois,IL,0
Indiana,IN,0
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,0
Maine,ME,0
Maryland,MD,0
Massachusetts,MA,0
Michigan,MI,0
Minnesota,MN,0
Mississippi,MS,0
Missouri,MO,0
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,0
New Mexico,NM,0
New York,NY,0
North Carolina,NC,0
North Dakota,ND,0
Ohio,OH,0
Oklahoma,OK,0
Oregon,OR,0
Pennsylvania,PA,0
Rhode Island,RI,0
South Carolina,SC,0
South Dakota,SD,0
Tennessee,TN,0
Texas,TX,0
Utah,UT,0
Vermont,VT,0
Virginia,VA,0
Washington,WA,0
West Virginia,WV,0
Wisconsin,WI,0
Wyoming,WY,0
